2015-08-14 13:09:16.0530 | INFO | 資料未變動 

2015-08-14 13:09:18.3392 | INFO | 資料未變動 

2015-08-14 13:09:20.5538 | INFO | 資料未變動 

2015-08-14 13:09:22.8935 | INFO | 資料未變動 

2015-08-14 13:09:25.1683 | INFO | 資料未變動 

2015-08-14 13:09:27.4715 | INFO | 資料未變動 

2015-08-14 13:09:29.7698 | INFO | 資料未變動 

2015-08-14 13:09:32.0765 | INFO | 資料未變動 

2015-08-14 13:09:34.3616 | INFO | 資料未變動 

2015-08-14 13:09:36.7308 | INFO | 資料未變動 

2015-08-14 13:09:39.4942 | INFO | 資料未變動 

2015-08-14 13:09:42.0646 | INFO | 資料未變動 

2015-08-14 13:09:45.2948 | INFO | 資料未變動 

2015-08-14 13:10:08.6032 | INFO | 資料未變動 

2015-08-14 13:10:10.9320 | INFO | 資料未變動 

2015-08-14 13:10:13.2302 | INFO | 資料未變動 

2015-08-14 13:10:15.5763 | INFO | 資料未變動 

2015-08-14 13:10:18.4104 | INFO | 資料未變動 

2015-08-14 13:10:20.7239 | INFO | 資料未變動 

2015-08-14 13:10:24.6233 | INFO | 資料未變動 

2015-08-14 13:10:26.9142 | INFO | 資料未變動 

2015-08-14 13:10:29.2245 | INFO | 資料未變動 

2015-08-14 13:10:31.5772 | INFO | 資料未變動 

2015-08-14 13:10:34.1803 | INFO | 資料未變動 

2015-08-14 13:10:43.1087 | INFO | 資料未變動 

2015-08-14 13:10:45.4666 | INFO | 資料未變動 

2015-08-14 13:10:48.9341 | INFO | 資料未變動 

2015-08-14 13:10:53.5864 | INFO | 資料未變動 

2015-08-14 13:10:55.9833 | INFO | 資料未變動 

2015-08-14 13:10:58.2415 | INFO | 資料未變動 

2015-08-14 13:11:00.8428 | INFO | 資料未變動 

2015-08-14 13:11:04.1099 | INFO | 資料未變動 

2015-08-14 13:11:06.7208 | INFO | 資料未變動 

2015-08-14 13:11:10.2426 | INFO | 資料未變動 

2015-08-14 13:11:12.5465 | INFO | 資料未變動 

2015-08-14 13:11:14.8015 | INFO | 資料未變動 

2015-08-14 13:11:18.1432 | INFO | 資料未變動 

2015-08-14 13:11:20.7039 | INFO | 資料未變動 

2015-08-14 13:11:23.5603 | INFO | 資料未變動 

2015-08-14 13:11:26.9386 | INFO | 資料未變動 

2015-08-14 13:11:29.1618 | INFO | 資料未變動 

2015-08-14 13:11:32.3617 | INFO | 資料未變動 

2015-08-14 13:11:34.6518 | INFO | 資料未變動 

2015-08-14 13:11:37.2562 | INFO | 資料未變動 

2015-08-14 13:11:39.5737 | INFO | 資料未變動 

2015-08-14 13:11:41.8401 | INFO | 資料未變動 

2015-08-14 13:12:03.5800 | INFO | 資料未變動 

