2015-08-10 14:49:43.7412 | INFO | 開始跟盤：籃球 奧訊 (BKOS) 

2015-08-10 15:09:01.4893 | INFO | 開始跟盤：籃球 奧訊 (BKOS) 

2015-08-10 15:09:48.1036 | INFO | 完成跟盤 139 (處理使用: 8,576 毫秒，寫入使用：30,104 毫秒) 

2015-08-10 15:10:03.4246 | INFO | 完成跟盤 21 (處理使用: 6,535 毫秒，寫入使用：6,732 毫秒) 

2015-08-10 15:10:06.2048 | INFO | 資料未變動 

2015-08-10 15:10:08.8573 | INFO | 資料未變動 

2015-08-10 15:10:11.5296 | INFO | 資料未變動 

2015-08-10 15:10:14.1295 | INFO | 資料未變動 

2015-08-10 15:10:16.7961 | INFO | 資料未變動 

2015-08-10 15:10:19.4935 | INFO | 資料未變動 

2015-08-10 15:10:22.2344 | INFO | 資料未變動 

2015-08-10 15:10:24.8634 | INFO | 資料未變動 

2015-08-10 15:10:27.4314 | INFO | 資料未變動 

2015-08-10 15:10:30.0031 | INFO | 資料未變動 

2015-08-10 15:10:32.7547 | INFO | 資料未變動 

2015-08-10 15:10:35.4382 | INFO | 資料未變動 

2015-08-10 15:10:38.0338 | INFO | 資料未變動 

2015-08-10 15:10:40.6549 | INFO | 資料未變動 

2015-08-10 15:10:43.2082 | INFO | 資料未變動 

2015-08-10 15:10:45.8285 | INFO | 資料未變動 

2015-08-10 15:10:48.4690 | INFO | 資料未變動 

2015-08-10 15:10:51.0680 | INFO | 資料未變動 

2015-08-10 15:10:53.7788 | INFO | 資料未變動 

2015-08-10 15:10:56.4830 | INFO | 資料未變動 

2015-08-10 15:10:59.0243 | INFO | 資料未變動 

2015-08-10 15:11:01.6369 | INFO | 資料未變動 

2015-08-10 15:11:04.2166 | INFO | 資料未變動 

2015-08-10 15:11:06.7936 | INFO | 資料未變動 

2015-08-10 15:11:09.3886 | INFO | 資料未變動 

2015-08-10 15:11:11.9815 | INFO | 資料未變動 

2015-08-10 15:11:14.6457 | INFO | 資料未變動 

2015-08-10 15:11:17.2583 | INFO | 資料未變動 

2015-08-10 15:11:19.8146 | INFO | 資料未變動 

2015-08-10 15:11:22.3659 | INFO | 資料未變動 

2015-08-10 15:11:24.9155 | INFO | 資料未變動 

2015-08-10 15:11:27.5199 | INFO | 資料未變動 

2015-08-10 15:11:30.1481 | INFO | 資料未變動 

2015-08-10 15:11:32.7701 | INFO | 資料未變動 

2015-08-10 15:11:35.3303 | INFO | 資料未變動 

2015-08-10 15:11:37.9465 | INFO | 資料未變動 

2015-08-10 15:11:53.5875 | INFO | 資料未變動 

2015-08-10 15:11:56.1828 | INFO | 資料未變動 

2015-08-10 15:11:58.7390 | INFO | 資料未變動 

2015-08-10 15:12:01.3112 | INFO | 資料未變動 

2015-08-10 15:12:03.8897 | INFO | 資料未變動 

2015-08-10 15:12:06.4731 | INFO | 資料未變動 

2015-08-10 15:12:09.0900 | INFO | 資料未變動 

2015-08-10 15:12:11.6686 | INFO | 資料未變動 

2015-08-10 15:12:14.3284 | INFO | 資料未變動 

2015-08-10 15:12:16.9895 | INFO | 資料未變動 

2015-08-10 15:12:19.5660 | INFO | 資料未變動 

2015-08-10 15:12:22.1386 | INFO | 資料未變動 

2015-08-10 15:12:24.8456 | INFO | 資料未變動 

2015-08-10 15:12:27.4069 | INFO | 資料未變動 

2015-08-10 15:12:29.9708 | INFO | 資料未變動 

2015-08-10 15:12:32.6308 | INFO | 資料未變動 

2015-08-10 15:12:35.2202 | INFO | 資料未變動 

2015-08-10 15:12:37.8465 | INFO | 資料未變動 

2015-08-10 15:12:40.4798 | INFO | 資料未變動 

2015-08-10 15:12:43.1035 | INFO | 資料未變動 

2015-08-10 15:12:45.6836 | INFO | 資料未變動 

2015-08-10 15:12:48.2890 | INFO | 資料未變動 

2015-08-10 15:12:51.0856 | INFO | 資料未變動 

2015-08-10 15:12:53.6466 | INFO | 資料未變動 

2015-08-10 15:12:56.3228 | INFO | 資料未變動 

2015-08-10 15:12:58.8969 | INFO | 資料未變動 

2015-08-10 15:13:01.5022 | INFO | 資料未變動 

2015-08-10 15:13:04.0938 | INFO | 資料未變動 

2015-08-10 15:13:06.6763 | INFO | 資料未變動 

2015-08-10 15:13:09.2443 | INFO | 資料未變動 

2015-08-10 15:13:11.9664 | INFO | 資料未變動 

2015-08-10 15:13:14.6933 | INFO | 資料未變動 

2015-08-10 15:13:17.4167 | INFO | 資料未變動 

2015-08-10 15:13:20.2077 | INFO | 資料未變動 

2015-08-10 15:13:22.7756 | INFO | 資料未變動 

2015-08-10 15:13:25.3454 | INFO | 資料未變動 

2015-08-10 15:13:27.9181 | INFO | 資料未變動 

2015-08-10 15:13:30.5240 | INFO | 資料未變動 

2015-08-10 15:13:33.0820 | INFO | 資料未變動 

2015-08-10 15:13:35.6267 | INFO | 資料未變動 

2015-08-10 15:13:38.1894 | INFO | 資料未變動 

2015-08-10 15:13:40.7488 | INFO | 資料未變動 

2015-08-10 15:13:43.3166 | INFO | 資料未變動 

2015-08-10 15:13:45.8692 | INFO | 資料未變動 

2015-08-10 15:13:48.4249 | INFO | 資料未變動 

2015-08-10 15:13:50.9845 | INFO | 資料未變動 

2015-08-10 15:13:53.5561 | INFO | 資料未變動 

2015-08-10 15:13:56.1164 | INFO | 資料未變動 

2015-08-10 15:13:58.7142 | INFO | 資料未變動 

2015-08-10 15:14:01.2700 | INFO | 資料未變動 

2015-08-10 15:14:03.8427 | INFO | 資料未變動 

2015-08-10 15:14:06.4107 | INFO | 資料未變動 

2015-08-10 15:14:08.9766 | INFO | 資料未變動 

2015-08-10 15:14:11.5334 | INFO | 資料未變動 

2015-08-10 15:14:14.0997 | INFO | 資料未變動 

2015-08-10 15:14:16.6558 | INFO | 資料未變動 

2015-08-10 15:14:19.2154 | INFO | 資料未變動 

2015-08-10 15:14:21.8482 | INFO | 資料未變動 

2015-08-10 15:14:24.4097 | INFO | 資料未變動 

2015-08-10 15:14:26.9524 | INFO | 資料未變動 

2015-08-10 15:14:29.5427 | INFO | 資料未變動 

2015-08-10 15:14:32.1528 | INFO | 資料未變動 

2015-08-10 15:14:34.7075 | INFO | 資料未變動 

2015-08-10 15:14:37.2980 | INFO | 資料未變動 

2015-08-10 15:14:39.8640 | INFO | 資料未變動 

2015-08-10 15:14:42.4416 | INFO | 資料未變動 

2015-08-10 15:14:45.0022 | INFO | 資料未變動 

2015-08-10 15:14:47.5782 | INFO | 資料未變動 

2015-08-10 15:14:50.1302 | INFO | 資料未變動 

2015-08-10 15:14:52.7050 | INFO | 資料未變動 

2015-08-10 15:14:55.2685 | INFO | 資料未變動 

2015-08-10 15:14:57.8285 | INFO | 資料未變動 

2015-08-10 15:15:00.4233 | INFO | 資料未變動 

2015-08-10 15:15:03.0018 | INFO | 資料未變動 

2015-08-10 15:15:05.5655 | INFO | 資料未變動 

2015-08-10 15:15:08.2406 | INFO | 資料未變動 

2015-08-10 15:15:10.8105 | INFO | 資料未變動 

2015-08-10 15:15:13.4848 | INFO | 資料未變動 

2015-08-10 15:15:16.2607 | INFO | 資料未變動 

2015-08-10 15:15:18.9965 | INFO | 資料未變動 

2015-08-10 15:15:21.8837 | INFO | 資料未變動 

2015-08-10 15:15:24.5991 | INFO | 資料未變動 

2015-08-10 15:15:27.3180 | INFO | 資料未變動 

2015-08-10 15:15:30.0419 | INFO | 資料未變動 

2015-08-10 15:15:32.7345 | INFO | 資料未變動 

2015-08-10 15:15:35.3155 | INFO | 資料未變動 

2015-08-10 15:15:37.8753 | INFO | 資料未變動 

2015-08-10 15:15:40.4389 | INFO | 資料未變動 

2015-08-10 15:15:43.0593 | INFO | 資料未變動 

2015-08-10 15:15:45.6391 | INFO | 資料未變動 

2015-08-10 15:15:48.2040 | INFO | 資料未變動 

2015-08-10 15:15:50.7834 | INFO | 資料未變動 

2015-08-10 15:15:53.3980 | INFO | 資料未變動 

2015-08-10 15:15:55.9515 | INFO | 資料未變動 

2015-08-10 15:15:58.5371 | INFO | 資料未變動 

2015-08-10 15:16:01.0907 | INFO | 資料未變動 

2015-08-10 15:16:03.6626 | INFO | 資料未變動 

2015-08-10 15:16:06.2331 | INFO | 資料未變動 

2015-08-10 15:16:09.1419 | INFO | 資料未變動 

2015-08-10 15:16:11.7636 | INFO | 資料未變動 

2015-08-10 15:16:14.3372 | INFO | 資料未變動 

2015-08-10 15:16:17.4557 | INFO | 資料未變動 

2015-08-10 15:16:20.0060 | INFO | 資料未變動 

2015-08-10 15:16:22.5934 | INFO | 資料未變動 

2015-08-10 15:16:25.1468 | INFO | 資料未變動 

2015-08-10 15:16:27.7551 | INFO | 資料未變動 

2015-08-10 15:16:30.3457 | INFO | 資料未變動 

2015-08-10 15:16:33.3111 | INFO | 資料未變動 

2015-08-10 15:16:35.8933 | INFO | 資料未變動 

2015-08-10 15:16:38.5135 | INFO | 資料未變動 

2015-08-10 15:16:41.2127 | INFO | 資料未變動 

2015-08-10 15:16:43.8315 | INFO | 資料未變動 

2015-08-10 15:16:46.4275 | INFO | 資料未變動 

2015-08-10 15:16:48.9820 | INFO | 資料未變動 

2015-08-10 15:16:51.5634 | INFO | 資料未變動 

2015-08-10 15:16:54.1219 | INFO | 資料未變動 

2015-08-10 15:16:56.6906 | INFO | 資料未變動 

2015-08-10 15:16:59.2408 | INFO | 資料未變動 

2015-08-10 15:17:01.8098 | INFO | 資料未變動 

2015-08-10 15:17:04.3804 | INFO | 資料未變動 

2015-08-10 15:17:06.9759 | INFO | 資料未變動 

2015-08-10 15:17:09.5344 | INFO | 資料未變動 

2015-08-10 15:17:12.1101 | INFO | 資料未變動 

2015-08-10 15:17:14.6794 | INFO | 資料未變動 

2015-08-10 15:17:17.2431 | INFO | 資料未變動 

2015-08-10 15:17:19.8456 | INFO | 資料未變動 

2015-08-10 15:17:22.4438 | INFO | 資料未變動 

2015-08-10 15:17:25.0171 | INFO | 資料未變動 

2015-08-10 15:17:27.5867 | INFO | 資料未變動 

2015-08-10 15:17:30.1561 | INFO | 資料未變動 

2015-08-10 15:17:32.7317 | INFO | 資料未變動 

2015-08-10 15:17:35.3152 | INFO | 資料未變動 

2015-08-10 15:17:37.9287 | INFO | 資料未變動 

2015-08-10 15:17:40.5141 | INFO | 資料未變動 

2015-08-10 15:17:43.1696 | INFO | 資料未變動 

2015-08-10 15:17:45.8326 | INFO | 資料未變動 

2015-08-10 15:17:48.4610 | INFO | 資料未變動 

2015-08-10 15:17:51.0144 | INFO | 資料未變動 

2015-08-10 15:17:53.7030 | INFO | 資料未變動 

2015-08-10 15:17:56.8459 | INFO | 資料未變動 

2015-08-10 15:17:59.5700 | INFO | 資料未變動 

2015-08-10 15:18:02.2667 | INFO | 資料未變動 

2015-08-10 15:18:04.9188 | INFO | 資料未變動 

2015-08-10 15:18:07.7191 | INFO | 資料未變動 

2015-08-10 15:18:10.2953 | INFO | 資料未變動 

2015-08-10 15:18:12.8984 | INFO | 資料未變動 

2015-08-10 15:18:15.4869 | INFO | 資料未變動 

2015-08-10 15:18:18.0314 | INFO | 資料未變動 

2015-08-10 15:18:20.6586 | INFO | 資料未變動 

2015-08-10 15:18:23.3189 | INFO | 資料未變動 

2015-08-10 15:18:25.8911 | INFO | 資料未變動 

2015-08-10 15:18:28.4737 | INFO | 資料未變動 

2015-08-10 15:18:31.0893 | INFO | 資料未變動 

2015-08-10 15:18:33.6668 | INFO | 資料未變動 

2015-08-10 15:18:36.2342 | INFO | 資料未變動 

2015-08-10 15:18:38.9127 | INFO | 資料未變動 

2015-08-10 15:18:41.5039 | INFO | 資料未變動 

2015-08-10 15:18:44.0635 | INFO | 資料未變動 

2015-08-10 15:18:46.6416 | INFO | 資料未變動 

2015-08-10 15:18:49.1969 | INFO | 資料未變動 

2015-08-10 15:18:51.7872 | INFO | 資料未變動 

2015-08-10 15:18:54.3440 | INFO | 資料未變動 

2015-08-10 15:18:56.9225 | INFO | 資料未變動 

2015-08-10 15:18:59.4938 | INFO | 資料未變動 

2015-08-10 15:19:02.1007 | INFO | 資料未變動 

2015-08-10 15:19:04.6626 | INFO | 資料未變動 

2015-08-10 15:19:07.3150 | INFO | 資料未變動 

2015-08-10 15:19:09.9823 | INFO | 資料未變動 

2015-08-10 15:19:12.5807 | INFO | 資料未變動 

2015-08-10 15:19:15.2240 | INFO | 資料未變動 

2015-08-10 15:19:17.8166 | INFO | 資料未變動 

2015-08-10 15:19:20.3911 | INFO | 資料未變動 

2015-08-10 15:19:22.9386 | INFO | 資料未變動 

2015-08-10 15:19:25.5170 | INFO | 資料未變動 

2015-08-10 15:19:28.0677 | INFO | 資料未變動 

2015-08-10 15:19:30.6212 | INFO | 資料未變動 

2015-08-10 15:19:33.1957 | INFO | 資料未變動 

2015-08-10 15:19:35.7892 | INFO | 資料未變動 

2015-08-10 15:19:38.4067 | INFO | 資料未變動 

2015-08-10 15:19:41.0183 | INFO | 資料未變動 

2015-08-10 15:19:43.5957 | INFO | 資料未變動 

2015-08-10 15:19:46.1891 | INFO | 資料未變動 

2015-08-10 15:19:48.7746 | INFO | 資料未變動 

2015-08-10 15:19:51.4906 | INFO | 資料未變動 

2015-08-10 15:19:54.1440 | INFO | 資料未變動 

2015-08-10 15:19:56.9874 | INFO | 資料未變動 

2015-08-10 15:19:59.7791 | INFO | 資料未變動 

2015-08-10 15:20:02.4708 | INFO | 資料未變動 

2015-08-10 15:20:05.0452 | INFO | 資料未變動 

2015-08-10 15:20:07.6020 | INFO | 資料未變動 

2015-08-10 15:20:10.1703 | INFO | 資料未變動 

2015-08-10 15:20:12.7421 | INFO | 資料未變動 

2015-08-10 15:20:15.3468 | INFO | 資料未變動 

2015-08-10 15:20:17.9456 | INFO | 資料未變動 

2015-08-10 15:20:20.5340 | INFO | 資料未變動 

2015-08-10 15:20:23.1317 | INFO | 資料未變動 

2015-08-10 15:20:25.7100 | INFO | 資料未變動 

2015-08-10 15:20:28.2685 | INFO | 資料未變動 

2015-08-10 15:20:30.8330 | INFO | 資料未變動 

2015-08-10 15:20:33.3968 | INFO | 資料未變動 

2015-08-10 15:20:35.9881 | INFO | 資料未變動 

2015-08-10 15:20:38.5879 | INFO | 資料未變動 

2015-08-10 15:20:41.1644 | INFO | 資料未變動 

2015-08-10 15:20:43.7396 | INFO | 資料未變動 

2015-08-10 15:20:46.4242 | INFO | 資料未變動 

2015-08-10 15:20:49.0968 | INFO | 資料未變動 

2015-08-10 15:20:51.9176 | INFO | 資料未變動 

2015-08-10 15:20:54.7518 | INFO | 資料未變動 

2015-08-10 15:20:57.3486 | INFO | 資料未變動 

2015-08-10 15:21:00.0065 | INFO | 資料未變動 

2015-08-10 15:21:02.6681 | INFO | 資料未變動 

2015-08-10 15:21:05.3364 | INFO | 資料未變動 

2015-08-10 15:21:07.9728 | INFO | 資料未變動 

2015-08-10 15:21:10.5707 | INFO | 資料未變動 

2015-08-10 15:21:13.1972 | INFO | 資料未變動 

2015-08-10 15:21:15.8899 | INFO | 資料未變動 

2015-08-10 15:21:18.5861 | INFO | 資料未變動 

2015-08-10 15:21:21.1594 | INFO | 資料未變動 

2015-08-10 15:21:23.7858 | INFO | 資料未變動 

2015-08-10 15:21:26.3521 | INFO | 資料未變動 

2015-08-10 15:21:28.9961 | INFO | 資料未變動 

2015-08-10 15:21:31.9356 | INFO | 資料未變動 

2015-08-10 15:21:34.5365 | INFO | 資料未變動 

2015-08-10 15:21:37.0848 | INFO | 資料未變動 

2015-08-10 15:21:39.6252 | INFO | 資料未變動 

