2015-08-14 13:34:16.9141 | INFO | 開始跟盤：冰球 BF (IHBF) 

2015-08-14 13:34:51.1432 | INFO | 完成跟盤 235 (處理使用:  261 毫秒，寫入使用：16,718 毫秒) 

2015-08-14 13:34:56.3128 | INFO | 資料未變動 

2015-08-14 13:35:01.4358 | INFO | 資料未變動 

2015-08-14 13:35:06.5469 | INFO | 資料未變動 

2015-08-14 13:35:11.7000 | INFO | 資料未變動 

2015-08-14 13:35:16.8148 | INFO | 資料未變動 

2015-08-14 13:35:21.9113 | INFO | 資料未變動 

2015-08-14 13:35:27.0508 | INFO | 資料未變動 

2015-08-14 13:35:32.1884 | INFO | 資料未變動 

2015-08-14 13:35:37.3138 | INFO | 資料未變動 

2015-08-14 13:35:42.3994 | INFO | 資料未變動 

2015-08-14 13:35:47.5494 | INFO | 資料未變動 

2015-08-14 13:35:52.6397 | INFO | 資料未變動 

2015-08-14 13:35:57.7505 | INFO | 資料未變動 

2015-08-14 13:36:02.8376 | INFO | 資料未變動 

2015-08-14 13:36:07.9266 | INFO | 資料未變動 

2015-08-14 13:36:13.1267 | INFO | 資料未變動 

2015-08-14 13:36:18.2529 | INFO | 資料未變動 

2015-08-14 13:36:23.3577 | INFO | 資料未變動 

2015-08-14 13:36:28.4657 | INFO | 資料未變動 

2015-08-14 13:36:33.5573 | INFO | 資料未變動 

2015-08-14 13:36:38.6589 | INFO | 資料未變動 

2015-08-14 13:36:43.7873 | INFO | 資料未變動 

2015-08-14 13:36:48.8833 | INFO | 資料未變動 

2015-08-14 13:36:53.9838 | INFO | 資料未變動 

2015-08-14 13:36:59.0677 | INFO | 資料未變動 

2015-08-14 13:37:04.1721 | INFO | 資料未變動 

2015-08-14 13:37:09.2571 | INFO | 資料未變動 

2015-08-14 13:37:14.3508 | INFO | 資料未變動 

2015-08-14 13:37:19.4450 | INFO | 資料未變動 

2015-08-14 13:37:24.5407 | INFO | 資料未變動 

2015-08-14 13:37:29.7069 | INFO | 資料未變動 

2015-08-14 13:37:34.8563 | INFO | 資料未變動 

2015-08-14 13:37:39.9615 | INFO | 資料未變動 

2015-08-14 13:37:45.0506 | INFO | 資料未變動 

2015-08-14 13:37:50.1715 | INFO | 資料未變動 

2015-08-14 13:37:55.2702 | INFO | 資料未變動 

2015-08-14 13:38:12.4296 | INFO | 資料未變動 

2015-08-14 13:38:17.5801 | INFO | 資料未變動 

2015-08-14 13:38:22.6676 | INFO | 資料未變動 

2015-08-14 13:38:27.7788 | INFO | 資料未變動 

2015-08-14 13:38:32.9180 | INFO | 資料未變動 

2015-08-14 13:38:38.0106 | INFO | 資料未變動 

2015-08-14 13:38:43.1097 | INFO | 資料未變動 

2015-08-14 13:38:48.2351 | INFO | 資料未變動 

2015-08-14 13:38:53.3387 | INFO | 資料未變動 

2015-08-14 13:38:58.4855 | INFO | 資料未變動 

2015-08-14 13:39:03.6650 | INFO | 資料未變動 

2015-08-14 13:39:08.8062 | INFO | 資料未變動 

2015-08-14 13:39:13.9010 | INFO | 資料未變動 

2015-08-14 13:39:19.0658 | INFO | 資料未變動 

2015-08-14 13:39:24.2261 | INFO | 資料未變動 

2015-08-14 13:39:29.3606 | INFO | 資料未變動 

2015-08-14 13:39:34.5125 | INFO | 資料未變動 

2015-08-14 13:39:39.6740 | INFO | 資料未變動 

2015-08-14 13:39:45.3252 | INFO | 資料未變動 

2015-08-14 13:39:50.4243 | INFO | 資料未變動 

2015-08-14 13:39:55.5609 | INFO | 資料未變動 

2015-08-14 13:40:00.7470 | INFO | 資料未變動 

2015-08-14 13:40:05.8614 | INFO | 資料未變動 

2015-08-14 13:40:10.9992 | INFO | 資料未變動 

2015-08-14 13:40:16.1348 | INFO | 資料未變動 

2015-08-14 13:40:21.2617 | INFO | 資料未變動 

2015-08-14 13:40:26.4177 | INFO | 資料未變動 

2015-08-14 13:40:31.5377 | INFO | 資料未變動 

2015-08-14 13:40:36.6589 | INFO | 資料未變動 

2015-08-14 13:40:42.5492 | INFO | 資料未變動 

2015-08-14 13:40:47.6627 | INFO | 資料未變動 

2015-08-14 13:40:52.8356 | INFO | 資料未變動 

2015-08-14 13:40:58.0122 | INFO | 資料未變動 

2015-08-14 13:41:03.1606 | INFO | 資料未變動 

2015-08-14 13:41:08.3060 | INFO | 資料未變動 

2015-08-14 13:41:13.4326 | INFO | 資料未變動 

2015-08-14 13:41:18.5640 | INFO | 資料未變動 

2015-08-14 13:41:23.6713 | INFO | 資料未變動 

2015-08-14 13:41:28.8801 | INFO | 資料未變動 

2015-08-14 13:41:34.0158 | INFO | 資料未變動 

2015-08-14 13:41:39.1515 | INFO | 資料未變動 

2015-08-14 13:41:44.2748 | INFO | 資料未變動 

2015-08-14 13:41:49.4089 | INFO | 資料未變動 

2015-08-14 13:41:54.5188 | INFO | 資料未變動 

2015-08-14 13:41:59.6536 | INFO | 資料未變動 

2015-08-14 13:42:04.7663 | INFO | 資料未變動 

2015-08-14 13:42:09.8987 | INFO | 資料未變動 

2015-08-14 13:42:15.0128 | INFO | 資料未變動 

2015-08-14 13:42:20.1555 | INFO | 資料未變動 

2015-08-14 13:42:25.2542 | INFO | 資料未變動 

2015-08-14 13:42:30.3294 | INFO | 資料未變動 

2015-08-14 13:42:35.4089 | INFO | 資料未變動 

2015-08-14 13:42:40.5048 | INFO | 資料未變動 

2015-08-14 13:42:45.5957 | INFO | 資料未變動 

2015-08-14 13:42:50.7076 | INFO | 資料未變動 

2015-08-14 13:42:55.7845 | INFO | 資料未變動 

2015-08-14 13:43:00.9178 | INFO | 資料未變動 

2015-08-14 13:43:06.0595 | INFO | 資料未變動 

2015-08-14 13:43:11.1473 | INFO | 資料未變動 

2015-08-14 13:43:16.2503 | INFO | 資料未變動 

2015-08-14 13:43:21.3296 | INFO | 資料未變動 

2015-08-14 13:43:26.4225 | INFO | 資料未變動 

2015-08-14 13:43:31.5437 | INFO | 資料未變動 

2015-08-14 13:43:36.6240 | INFO | 資料未變動 

2015-08-14 13:43:41.7749 | INFO | 資料未變動 

2015-08-14 13:43:46.8625 | INFO | 資料未變動 

2015-08-14 13:43:51.9463 | INFO | 資料未變動 

2015-08-14 13:43:57.0290 | INFO | 資料未變動 

2015-08-14 13:44:02.1523 | INFO | 資料未變動 

2015-08-14 13:44:07.2466 | INFO | 資料未變動 

2015-08-14 13:44:12.4155 | INFO | 資料未變動 

2015-08-14 13:44:17.4948 | INFO | 資料未變動 

2015-08-14 13:44:22.6070 | INFO | 資料未變動 

2015-08-14 13:44:27.6973 | INFO | 資料未變動 

2015-08-14 13:44:32.8047 | INFO | 資料未變動 

2015-08-14 13:44:37.8993 | INFO | 資料未變動 

2015-08-14 13:44:46.6471 | INFO | 完成跟盤  1 (處理使用:   94 毫秒，寫入使用：3,650 毫秒) 

2015-08-14 13:44:51.8474 | INFO | 資料未變動 

